Sample Antivirus Program Log.
Created On: 08/12/2018

Directory: E:\Xcluded\Samples
Scanning: E:\Xcluded\Samples\ad9fdf21fe214c1d9caa53abae39c5ab
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\aeb628c1eaae4c4890628cfe53c94386
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\7b00d8403e8846b185910abb20ed3824
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\46f17ff21c2e41079737b189adfd6c66
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\eea71f75f5c943caadff8611ee824872
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\0454a9cd44c9453e8915aa6cd75567ec
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\ed97cb788199467d971e640ac26c5242
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\b0a02ab3cf314e49ad9e979396f95bff
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\1b0a6f82a2534fb79c1e74bf96ff90d2
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\e394437418424da0981efbc530e5782b
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\b96572f5874b4af3ad6e1f471456ee55
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\37b40fb8242e4862b0cc9f397d0e2179
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\cc45270ec34042ffa5ec7d0918bb4958
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\c56ea570fdf940b7a848df7cbc09e119
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\d08a964809a74eddb762bb4162aa5a0c
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\68ff5b4a7b9146899cf135cc6b6e2713
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\9d892b52cf2e409994114ec84c3eedb0
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\4c9fe903c0f84aae92c1fe7f7dc6237e
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\d12a16682eee460582ba81b93a61d7d5
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\23c64379a9a0484e8488056e8a0aed59
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\ad3826903850400ea3450c672280790a
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\ba97100c69a24796afd9a60de3477e71
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\44721b81700f48a39ddbf6ca6f46e245
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\b273eeef05b14909ad5ccee055b8d32e
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\547b5394108248a18f2d4e12e0329da7
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\d771350fed91497cb06edccd9249702c
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\e56dd15144444458803f415c332d7cff
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\27ae72ec28254e5190bf429653183301
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\95610e248b044dd78cfa1edcd61ed7fb
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\89ed9af67cde4929bfc27849bf846f64
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\64e4fda19ca04959a0a23eb1047d5910
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\77f59a1d78c442dfb7f7c990efad7627
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\3377106db9444f95b309860333b0a2b7
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\364ee2b6d6c54a2d831b02e29a00fd65
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\d5747f1528b9413f90818b1156a7fb6e
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\e28b73a91ce4432bad0436ca0df494e9
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\097cd5529c2f47ffbbef93e4984b9965
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\84ef97c60a884e3c864d5aab96e61c91
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\e269c96cf1b246768ae2ce9f12d8a657
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\499a7aafa6f54f9aa193fc08e69bc1fe
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\10b806b6d189458a83f9d345114f9de5
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\d8484ed7bfe9440aaa0da93d0b5f878b
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\51cadbd7fbc74ad999a6f8cd8bfbf2d7
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\8d7a2e270cc34dfa845c2f5d16a7f7ac
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\7b5b022505ec4791ab1e6ecf0e3ecee4
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\6138238fec854847b3d4ccab10f3ade6
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\b3f2e814468a47ceb91c6beeb96761a6
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\4fe2372972ee4f9c8c94670d19c2d05c
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\88616175af794ffb9f45f3662f916788
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\560bee072df54f66a1026c48b2c81136
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\e60db108dfd04b668dbbeeede4bfe5ef
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\634c60e4bbd74d969ba1ffcef06e038d
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\3ce4bc771fe440bf9134c1fad95e47ea
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\9a8c76f7673643579a7a27b7ae68d9cd
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\b83209d08a8c417a8a597bd951edd7c4
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\9c8686dfd9cd480386a4be5894386689
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\4e3ac00e119145ad90505a74d5e96c8d
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\3a02fb3e7ef74f01bf6224f7aa5333df
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\0687c230b00f4692812351fe7e1c3e24
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\43fe9240c1ec4c6eb97c9b161bf5e437
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\b1db98d0b21344ddb8b05219999c9de7
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\d5fbbdeaecd34022a3541a160c325bac
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\04a3dabfe5ea4d49bda08ad9b23fb424
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\e20c0b109b5340738c6a9d1f84154248
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\756d6c33df024dd4b5516598f6bfcb8e
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\eefab2e932f14da09c44e628162b581c
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\9af8552c336443c69e858f2037b64c61
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\30d53d8a33e44f67a9cf40684aa3751e
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\9f7cd5e004f44de79c37af8c9bf11bd4
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\c54b079ebd22409cba2da235d5f93ba2
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\0a1f27154f6a4bafaa6b3a031b5b3153
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\5eb947cc3ab8487fa8e34d0be7e7be71
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\2f58c85cd813427d99f0c364f3e9687e
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\deb36ae8dc864f49a53368bf3ff0806a
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\fb583f95225c42928e7d209e2493769d
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\0a87afa3be7541a6b4331504fb723fcd
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\801028ac05da44b1a2035a9c5b6e1477
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\c5592249c42a4314a4874672133d7b43
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\ec6cab310757498aa94c45bb4b5e7302
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\7be71c3491c9421cbea70d63fd2472c6
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\de2b56c0bd574a4abbf5f33c661a82a1
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\dc44c97144fb46beb72cd239614ce979
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\ce43e4719ae042be8b242ccb8ec29730
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\0d117f55ea784ccd98b6f36e8b2e9323
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\d0c4d5bc62ad491f920e81e1c6436124
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\065b756d21ce4363a3baf98cb55b1320
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\094afae6405c441f82efe3d62ff92801
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\db034b2ee0cd4c03b3277e29300ac4ea
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\b904683894fe4b8abb88be544693448a
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\c740170042fd4530a0c60fcc323aa089
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\e30e26416b254f0f98ccf756a916c701
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\2ac9bccf88fd4175b0590ffb8ce6c542
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\b16f428d007b4fd3816e4da6fcbe8efd
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\6f15f010ef0b48219ea11cf90a593c21
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\92c0088c12684415a68d45d7e7179126
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\d903c167c7a8486d9eb6ab30a8036315
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\b2acd1f50f864554965ec216517c0003
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\7777d9408dac4965a879f00b11220c4f
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\34876b15a28449e3a89a7cf3c4cda1aa
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\77f6bc2f5bb549319aeca3eb3fd18e76
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\f0cc470880914f3495093ff4d868214a
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\790f945f6d9545b7b6a7d0f8559cac5c
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\4ae4a654217040ecb00a6e4bd6194a2f
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\37506d214b1649febee9e55af92ffca7
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\368caf1a552346c992e91fa4e8fdc4db
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\068d7ba992994fbe91e4c0f628612c04
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\8fe8ef2290b946d4b2ceabb3230c609a
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\776335c542d64b40890ffba6c5d139ec
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\ebbb3ce154d0496892be92043268954f
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\16b1ef5ac1dc44dcbf090f2f1809ff26
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\375afe35968f43749bc0ce0ee0e1ad87
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\a7b6e9b7a36d4cc19780d6eb5451e4bc
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\d021a1196aef498b84d2467b319c06df
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\b184557f729846b9a5c5768256fe7d80
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\fa84b6975cc84a73834eab2e67578e18
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\b13198fd7cf5451dad196bff224739f6
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\7325a6fc689b44c0af4f57ca08c29cb1
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\0fa4e6b31c894e6ab00b27186841ba14
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\2d27dee528a94438bb662f602fb6147f
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\4571398b6728468ba9253e7241f86bb8
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\cc37fd1c2a834365976fb3f88ddfbeb4
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\026f9d631faf48bfb69059562463c613
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\fc2fdbdd57624ef592904668f5784671
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\d3c7b022e3c741a58a766fcb24183901
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\607c2b786c6a4b84bcb2613552abe1c0
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\a4954cbc64f04d70b2a3ff2b5f6263de
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\78e2b94712fd4d05afc56d6f7412b377
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\bec2a5f2d4314be2ae5d3f2963e66505
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\ae636ffe74f949659af2a91059fb6371
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\ba1e548dbe3944849a8fc36d9211d3ba
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\69cf47f1258a4b84b4616c0d8b2d6e1f
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\3b2482c01d054467a38de9d47b7aea63
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\22c0468c5e674885819be94e7d822f7f
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\086ec1b0c5bd46d2a4fde3bc6a502e23
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\1e5e7b8c013240c6b13566442058e0ad
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\65715dc745b447da9563852077dd015a
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\f247518f48d74920bd838d52d0fdb76a
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\af8185979ba54806ab3db070695983e5
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\d1c01835c6904652b14b8182b498940d
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\b2e2e6a063d740a380a85146d34ba32b
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\6c647336c661421fa07fbcdd7371564e
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\c9dcaa5306a047aeab0ecdc9fbd8ddaf
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\1dbac97e73e043ed8209423ee2cb2df0
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\e5e59ce6a2eb4856a0580e2461f0cb2f
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\c860e5d7a4974e5aab543fb6ef3ff411
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\7747a62308d14630b783612e73c7217a
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\861ddc6c66ba4b0597223a48b19cdc8f
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\4beced5a05464d7e94a577faeab5b2fb
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\9965fcdd2f4c42709aa2d977bcaf2775
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\8c38c8a495154f489102696e3d6e2ff4
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\9fa06ea0e4b048a894849817bda81b86
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\6cfd686d4d1841229ca7159fe11a69d8
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\dd4ea8666cc04a0cbbc5016c45d91cab
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\b5cff8a07dbc4d33aa2372b410d59011
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\7f8988c8f9504c8da2e60b0a147013f5
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\7744cbf5b14d473c9fe786af1f55ba95
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\a178d4d96f6e42f8a2141db2a4dfbba7
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\acf77ef81b9f48a7b674af8601c1d558
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\61b9ea9cd5c3420eb62a5ac03c84d4a5
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\b7fd258e630d4cfca19bbf84151b012c
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\4f1c6427a20f4a849a74d30d06dc7bf6
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\da30861e8f894e92be46df58acb548ff
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\28a1e128df444c5cbd64aff2e13a59ed
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\4427477203164940ac895b4e4d5074ca
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\6ff272bf02734a0ba3e20aaf6ec9ce6c
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\548defb70a364dc5930c89bfa40571ae
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\88cc27dda0704168bdebc65ae839cfdc
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\5a83b84815824ac8868c2b23d2dcae02
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\35390c04d26c40b3b5c20c9e8f3078a8
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\8e6e1b33fdb84a019c8eaa65324ef27c
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\ab820c2ab0ce4f9a91d15e5933bf9b16
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\28c153ed967a43f9b8bef2388e1c26ce
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\ebdc53f0b0d24d5dba7d48d11a4e658c
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\6ff5547b528f4232b0632d079976d461
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\10038184330946eba75a8feaaceed832
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\fa4dde4aa03a40068d551d65a73e95b2
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\a873a45f31b34f418af741cbf67c049f
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\1614227a2a954a4e93a1dc74286fdcb3
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\9da3b6d7060b40f18f6a466a29525c0a
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\f1462f08c00d43f89c6d0c9f00d9f093
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\2ead80abd5b24d7db3f4b1f41f632d9d
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\f50f2dac8b344d7d8a4d154333004ee1
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\21e9daed6e1e44928b9f4e2442ee1f7e
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\2220b4f7b3d34dda9dd12b30fa105fb4
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\86de4b5ef61e4b3cbca914f0a32af937
